"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"What is your gender?";"How old are you?";"What is your field of study?";"What is your field of study? [Other]";"What language is primarily spoken in your courses?";"Do you work with collaboration tools during your studies? (Microsoft Teams, Zoom, Trello, GitHub,...)";"What collaboration tools do you use and how often do you use them?  [Microsoft Teams]";"What collaboration tools do you use and how often do you use them?  [Zoom]";"What collaboration tools do you use and how often do you use them?  [Google Workspace (Docs, Sheets, Slides)]";"What collaboration tools do you use and how often do you use them?  [Slack]";"What collaboration tools do you use and how often do you use them?  [Trello]";"What collaboration tools do you use and how often do you use them?  [Notion]";"What collaboration tools do you use and how often do you use them?  [Miro]";"What collaboration tools do you use and how often do you use them?  [Mural]";"What collaboration tools do you use and how often do you use them?  [GitHub]";"What collaboration tools do you use and how often do you use them?  [Monday.com]";"What collaboration tools do you use and how often do you use them?  [Asana]";"What collaboration tools do you use and how often do you use them?  [Jira]";"What collaboration tools do you use and how often do you use them?  [Other (write below)]";"Do you use any other tools that are not mentioned above?";"Is the following criteria important in the selection of a collaboration tool for you?  [User-friendliness]";"Is the following criteria important in the selection of a collaboration tool for you?  [Functionality and feature set]";"Is the following criteria important in the selection of a collaboration tool for you?  [Integration with other tools]";"Is the following criteria important in the selection of a collaboration tool for you?  [Scalability (Ability to increase or decrease in performance)]";"Is the following criteria important in the selection of a collaboration tool for you?  [Cost (Expense involved in purchase and maintenance)]";"Is the following criteria important in the selection of a collaboration tool for you?  [Privacy and security]";"Is the following criteria important in the selection of a collaboration tool for you?  [Reliability and availability]";"Is the following criteria important in the selection of a collaboration tool for you?  [Mobility and access (Ease of access from various locations/devices)]";"Is the following criteria important in the selection of a collaboration tool for you?  [Customizability (personalize according to needs)]";"Is the following criteria important in the selection of a collaboration tool for you?  [Feedback and evaluation features]";"Is the following criteria important in the selection of a collaboration tool for you?  [Accessibility (Usable for as many people as possible)]";"Is the following criteria important in the selection of a collaboration tool for you?  [Reputation of the provider]";"Please mark what applies to you.  [The use of collaboration tools has improved collaboration with my fellow students.]";"Please mark what applies to you.  [Collaboration tools have made group projects more organized and manageable.]";"Please mark what applies to you.  [Collaboration tools have improved the ability to coordinate tasks and deadlines within my team.]";"Please mark what applies to you.  [Collaboration tools facilitate communication with lecturers and the exchange of feedback.]";"Please mark what applies to you.  [My active participation and engagement in class have increased through the use of these tools.]";"Please mark what applies to you.  [The use of collaboration tools has increased my motivation to learn.]";"Please mark what applies to your institution.  [I am satisfied with the variety of digital collaboration tools offered by my institution.]";"Please mark what applies to your institution.  [My institution integrates digital collaboration tools into the curriculum effectively.]";"Please mark what applies to your institution.  [The training sessions on digital collaboration tools provided by my institution are adequate.]";"Please mark what applies to your institution.  [My institution's helpdesk support effectively resolves issues related to digital collaboration tools.]";"Please mark what applies to your institution.  [I feel involved in the decision-making process regarding the selection of digital collaboration tools at my institution.]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Technical issues (e.g., connectivity problems, software glitches)]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Lack of familiarity with the tools]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Difficulty maintaining effective communication with my team members]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Lack of engagement or participation from team members]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Difficulty in managing and organizing shared documents and resources]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Privacy and security concerns]";"What are the most significant challenges you face while collaborating using digital tools and how often does it happen? [Inadequate support and training on the use of digital tools]";"Are there any other difficulties you encounter when using collaboration tools that have not been mentioned?";"How strongly do you feel the use of digital collaboration tools has impacted your academic performance positively?";"Please feel free to share any additional questions, suggestions, or comments you might have regarding digital collaboration tools or your experience using them.";"Total time";"Group time: General part";"Question time: G01Q10";"Question time: G02Q13";"Question time: G00Q13";"Question time: G01Q11";"Question time: G03Q12";"Question time: G02Q12";"Question time: G01Q13";"Group time: Use of Collaboration Tools";"Question time: G02Q05";"Group time: Use of Collaboration Tools";"Question time: G02Q03";"Group time: Use of Collaboration Tools";"Question time: G02Q07";"Group time: Use of Collaboration Tools";"Question time: G02Q08";"Question time: G05Q14";"Question time: G01Q09";"Group time: Conclusion";"Question time: G03Q06"
"1";"2024-03-27 11:04:56";"6";"en";"1996597920";"2024-03-27 11:01:46";"2024-03-27 11:04:56";"Male";"20-24";"Science, Technology, Engineering and Mathematics";"";"(Swiss-)German";"Yes";"Daily";"Weekly";"Weekly";"Never";"Less frequently";"Daily";"Several times a week";"Several times a week";"Several times a week";"Never";"Never";"Never";"Never";"";"Strongly Agree";"Strongly Agree";"Neutral";"Neutral";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Neutral";"Agree";"Disagree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Agree";"Neutral";"Agree";"Disagree";"Agree";"Disagree";"Agree";"Disagree";"Sometimes";"Often";"Often";"Rarely";"Rarely";"Never";"Often";"";"Very";"";"192.66";"47.39";;;;;;;;"46.44";;"28.41";;"28.32";;"39.27";;;;"2.83";
"2";"2024-03-27 11:22:10";"6";"en";"697215376";"2024-03-27 11:15:47";"2024-03-27 11:22:10";"Male";"20-24";"Business and Economics";"";"English";"Yes";"Several times a week";"Several times a week";"Less frequently";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Disagree";"Neutral";"Disagree";"Agree";"Disagree";"Disagree";"Strongly disagree";"Neutral";"Disagree";"Agree";"Strongly Agree";"Neutral";"Agree";"Strongly disagree";"Neutral";"Strongly Agree";"Agree";"Strongly Agree";"Agree";"Strongly disagree";"Rarely";"Rarely";"Never";"Rarely";"Rarely";"Never";"Rarely";"";"Very";"keine";"386.85";"65.09";;;;;;;;"61.93";;"61.6";;"67.69";;"83.8";;;;"46.74";
"3";"2024-03-27 13:37:22";"6";"en";"866539392";"2024-03-27 13:29:01";"2024-03-27 13:37:22";"Female";"20-24";"Law";"";"(Swiss-)German";"Yes";"Weekly";"Weekly";"Never";"Less frequently";"Never";"Weekly";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"-";"Agree";"Neutral";"Agree";"Neutral";"Agree";"Agree";"Agree";"Agree";"Agree";"Neutral";"Agree";"Agree";"Agree";"Agree";"Strongly Agree";"Strongly Agree";"Disagree";"Agree";"Agree";"Agree";"Neutral";"Neutral";"Agree";"Sometimes";"Sometimes";"Rarely";"Often";"Rarely";"Rarely";"Rarely";"";"Very";"";"506.45";"159.76";;;;;;;;"212.75";;"22.41";;"31.18";;"67.86";;;;"12.49";
"4";"2024-03-27 16:57:20";"6";"en";"1389161845";"2024-03-27 16:50:11";"2024-03-27 16:57:20";"Male";"20-24";"Science, Technology, Engineering and Mathematics";"";"(Swiss-)German";"Yes";"Less frequently";"Never";"Less frequently";"Less frequently";"Never";"Several times a week";"Less frequently";"Never";"Weekly";"Never";"Never";"Less frequently";"Never";"";"Strongly Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Neutral";"Neutral";"Agree";"Neutral";"Strongly Agree";"Strongly Agree";"Agree";"Agree";"Neutral";"Neutral";"Agree";"Agree";"Agree";"Neutral";"Neutral";"Sometimes";"Sometimes";"Rarely";"Sometimes";"Rarely";"Rarely";"Never";"";"Very";"";"388.11";"165.83";;;;;;;;"57.26";;"43.67";;"32.87";;"86.19";;;;"2.29";
"5";"2024-03-27 18:29:30";"6";"en";"1296586762";"2024-03-27 18:27:15";"2024-03-27 18:29:30";"Male";"20-24";"Science, Technology, Engineering and Mathematics";"";"(Swiss-)German";"Yes";"Daily";"Several times a week";"Weekly";"Never";"Never";"Daily";"Less frequently";"Less frequently";"Weekly";"Never";"Never";"Never";"Never";"";"Strongly Agree";"Strongly Agree";"Agree";"Neutral";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Neutral";"Disagree";"Disagree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Strongly Agree";"Agree";"Agree";"Neutral";"Agree";"Disagree";"Agree";"Disagree";"Very often";"Often";"Very often";"Very often";"Rarely";"Never";"Rarely";"";"Extremely";"";"137.87";"38.65";;;;;;;;"27.57";;"16.34";;"18.91";;"33.72";;;;"2.68";
"6";"2024-03-28 11:26:59";"6";"en";"2054564449";"2024-03-28 11:25:14";"2024-03-28 11:26:59";"Female";"20-24";"Business and Economics";"";"(Swiss-)German";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";;"Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Agree";"Neutral";"Neutral";"Agree";"Agree";"";"";"";"";"";"";"Agree";"Neutral";"Neutral";"Neutral";"Disagree";"";"";"";"";"";"";"";;;"";"96.4";"20.38";;;;;;;;"46.42";;;;"26.28";;;;;;"3.32";
"7";;"1";"en";"1538455849";"2024-03-28 11:25:25";"2024-03-28 11:25:58";"Female";"20-24";"Social Sciences";"";"Italian";"No";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"34.51";"34.51";;;;;;;;;;;;;;;;;;;
"8";;"2";"en";"405048167";"2024-03-28 11:25:26";"2024-03-28 11:28:13";"Female";"20-24";"Social Sciences";"";"(Swiss-)German";"Yes";"Weekly";"Weekly";"Less frequently";"Never";"Never";"Never";"Less frequently";"Never";"Never";"Never";"Never";"Never";"Never";"";"Neutral";"Neutral";"Neutral";"Neutral";"Disagree";"Disagree";"Disagree";"Agree";"Neutral";"Neutral";"Neutral";"Neutral";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"168.07";"94.54";;;;;;;;"73.53";;;;;;;;;;;
"9";"2024-03-28 11:29:05";"6";"en";"1209594838";"2024-03-28 11:25:33";"2024-03-28 11:29:05";"Male";"25-29";"Social Sciences";"";"(Swiss-)German";"Yes";"Weekly";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"";"Agree";"Strongly Agree";"Strongly Agree";"Disagree";"Strongly Agree";"Agree";"Neutral";"Agree";"Strongly disagree";"Strongly disagree";"Strongly Agree";"Neutral";"Strongly Agree";"Strongly Agree";"Agree";"Agree";"Disagree";"Strongly disagree";"Strongly disagree";"Strongly Agree";"Agree";"Neutral";"Strongly disagree";"Often";"Sometimes";"Often";"Very often";"Rarely";"Never";"Often";"";"Very";"";"213.78";"41.26";;;;;;;;"38.42";;"32.13";;"56.28";;"43.33";;;;"2.36";
"10";"2024-03-28 11:33:12";"6";"en";"625701056";"2024-03-28 11:25:46";"2024-03-28 11:33:12";"Female";"25-29";"Life Sciences and Medicine";"";"(Swiss-)German";"Yes";"Weekly";"Less frequently";"Less frequently";"Never";"Never";"Never";"Several times a week";"Never";"Never";"Never";"Never";"Never";"Daily";"Moodle";"Strongly Agree";"Strongly Agree";"Neutral";"Disagree";"Neutral";"Disagree";"Strongly Agree";"Strongly Agree";"Disagree";"Neutral";"Strongly Agree";"Neutral";"Neutral";"Neutral";"Strongly Agree";"Strongly Agree";"Disagree";"Disagree";"Agree";"Agree";"Neutral";"Neutral";"Strongly disagree";"Never";"Never";"Often";"Sometimes";"Very often";"Rarely";"Sometimes";"";"Moderately";"";"448.24";"108.73";;;;;;;;"87.44";;"60.22";;"64.09";;"125.13";;;;"2.63";
