ID,Gender,Age,FieldOfStudy,FieldOfStudy_Other,CourseLanguage,UseCollabTools,Teams,Zoom,GoogleWorkspace,Slack,Trello,Notion,Miro,Mural,GitHub,Monday,Asana,Jira,OtherCollaborationTools,UseOtherTools,UserFriendliness,Functionality,Integration,Scalability,Cost,PrivacySecurity,Reliability,Mobility,Customizability,Feedback,Accessibility,Reputation,ImpactOnCollaboration,ImpactOnOrganization,ImpactOnCoordination,ImpactOnCommunication,ImpactOnParticipation,ImpactOnMotivation,SatisfactionWithToolsVariety,EffectiveToolIntegration,AdequacyOfTraining,EffectivenessOfSupport,InvolvementInDecisionMaking,ChallengeTechnicalIssues,ChallengeFamiliarity,ChallengeCommunication,ChallengeEngagement,ChallengeOrganization,ChallengePrivacySecurity,ChallengeSupportTraining,OtherDifficulties,ImpactOnAcademicPerformance,AdditionalComments
1,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Weekly,Weekly,Never,Less frequently,Daily,Several times a week,Several times a week,Several times a week,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Often,Often,Rarely,Rarely,Never,Often,,Very,
2,Male,20-24,Business and Economics,,English,Yes,Several times a week,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly disagree,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,,Very,keine
3,Female,20-24,Law,,(Swiss-)German,Yes,Weekly,Weekly,Never,Less frequently,Never,Weekly,Never,Never,Never,Never,Never,Never,Never,-,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,,Very,
4,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Less frequently,Never,Less frequently,Less frequently,Never,Several times a week,Less frequently,Never,Weekly,Never,Never,Less frequently,Never,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,,Very,
5,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Several times a week,Weekly,Never,Never,Daily,Less frequently,Less frequently,Weekly,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Very often,Often,Very often,Very often,Rarely,Never,Rarely,,Extremely,
8,Female,20-24,Social Sciences,,(Swiss-)German,Yes,Weekly,Weekly,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,
9,Male,25-29,Social Sciences,,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Neutral,Strongly disagree,Often,Sometimes,Often,Very often,Rarely,Never,Often,,Very,
10,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Less frequently,Never,Never,Never,Several times a week,Never,Never,Never,Never,Never,Daily,Moodle,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Never,Never,Often,Sometimes,Very often,Rarely,Sometimes,,Moderately,
11,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Weekly,Less frequently,Never,Never,Less frequently,Never,Never,Several times a week,Never,Never,Never,Weekly,Webex,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Moderately,
12,Female,20-24,Social Sciences,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Weekly,Weekly,Never,Never,Never,Several times a week,Never,Never,Never,Never,Never,Never,"In my personal life, for organizing myself and for collaboration in my job and other projects in comitees for example I use Nextcloud, Jitsi, Only Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Less frequently,Never,Several times a week,Never,Never,Less frequently,Several times a week,"Discord, OneDrive",Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Others not knowing how to use the tools,Very,
15,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Less frequently,Less frequently,Never,Less frequently,Never,Never,Several times a week,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Rarely,Never,Never,Sometimes,Never,Often,Never,,Slightly,
16,Female,20-24,Law,,(Swiss-)German,Yes,Weekly,Never,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly disagree,Neutral,,,,,,,,,,,,,,,
17,Female,25-29,Social Sciences,,(Swiss-)German,Yes,Daily,Less frequently,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Never,,Slightly,
18,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Less frequently,Never,Never,Never,Never,Never,Less frequently,Never,Daily,Never,Never,Less frequently,Less frequently,VSCode LiveShare,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Rarely,Rarely,Often,Very often,Never,Never,Sometimes,,Not at all,"Current collaboration tools are bloated while still lacking essential features. As a software developer, I never want to leave my IDE to do administrative work for collaborative projects, so my collab tool of choice would be Visual Studio Code, if everything I need was available as an extension."
19,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Never,Never,Weekly,Never,Never,Less frequently,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Never,,Very,
20,Female,25-29,Other,Interpreting (Languages),(Swiss-)German,Yes,Less frequently,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,,Very,
22,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Less frequently,Less frequently,Never,Never,Daily,Never,Never,Less frequently,Never,,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Often,,Very,
23,Male,30-34,Other,Real Estate and FM,(Swiss-)German,Yes,Several times a week,Weekly,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,,Slightly,
24,Female,over 35 years,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Never,,Very,
